Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
CMP phosphorylation	"cmk // ""ndk"""	"cytidylate kinase // ""nucleoside diphosphate kinase"""	Pyrimidine Nucleotides Salvage	"CTP // ""ADP"""
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	"kdsB // ""kdsC"" // ""kdsA"" // ""kdsD"" // ""gutQ"""	"3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase // ""3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase"" // ""3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase"" // ""D-arabinose 5-phosphate isomerase"" // ""D-arabinose 5-phosphate isomerase"""	"CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis // ""CMP-sugar Biosynthesis"""	"phosphate // ""CMP-3-deoxy-&beta;-D-<i>manno</i>-octulosonate"" // ""diphosphate"""
coenzyme A biosynthesis I	"coaD // ""coaE"" // ""dfp"""	"phosphopantetheine adenylyltransferase // EG12312-MONOMER // ""fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase"""	Coenzyme A Biosynthesis	"diphosphate // ""CMP"" // ""CO<SUB>2</SUB>"" // ""coenzyme A"" // ""ADP"""
colanic acid building blocks biosynthesis	"gmd // ""fcl"" // ""pgi"" // ""manA"" // ""cpsG"" // ""cpsB"" // ""galU"" // ""pgm"" // ""galE"" // ""ugd"""	"GDP-mannose 4,6-dehydratase //  //  // MANNPISOM-MONOMER // PHOSMANMUT-MONOMER // MANNPGUANYLTRANGDP-MONOMER // ""UTP:glucose-1-phosphate uridylyltransferase"" // PHOSPHOGLUCMUT-MONOMER // ""UDP-glucose 4-epimerase monomer"" // "	"Carbohydrates Biosynthesis // ""Superpathways"""	UDP-&alpha;-D-galactose
conversion of succinate to propanoate	"scpA // ""scpB"" // ""scpC"""	" // ""methylmalonyl-CoA decarboxylase"" // G7517-MONOMER"	Succinate Degradation	"propanoate // ""CO<SUB>2</SUB>"""
CpxAR Two-Component Signal Transduction System	"cpxR // ""cpxA"""		Signal transduction pathways	"ADP // ""CpxR-P<sup>asp</sup> DNA-binding transcriptional dual regulator"""
CreCB Two-Component Signal Transduction System	"creB // ""creC"""		Signal transduction pathways	"ADP // ""CreB-Phosphorylated DNA-binding transcriptional regulator"""
curcumin degradation	curA	NADPH-dependent curcumin/dihydrocurcumin reductase	Secondary Metabolites Degradation	"tetrahydrocurcumin // ""NADP<sup>+</sup>"""
CusSR Two-Component Signal Transduction System	"cusR // ""cusS"""		Signal transduction pathways	"CusR-P<SUP>asp</SUP> DNA binding transcriptional activator // ""ADP"""
cyanate degradation	"cynT // ""cynS"""	"carbonic anhydrase 1 // ""cyanase"""	"|Detoxification| // ""Nitrogen Compounds Metabolism"""	ammonium
cyclopropane fatty acid (CFA) biosynthesis	cfa	cyclopropane fatty acyl phospholipid synthase	Cyclopropane Fatty Acids Biosynthesis	"a [phospholipid] cyclopropane fatty acid // ""<i>S</i>-adenosyl-L-homocysteine"" // ""H<SUP>+</SUP>"""
cytidylyl molybdenum cofactor biosynthesis	mocA	molybdenum cofactor cytidylyltransferase	"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis"	"cytidylyl molybdenum cofactor // ""diphosphate"""
D-allose degradation	"rpiB // ""alsE"" // ""alsK"""	allose-6-phosphate isomerase / ribose-5-phosphate isomerase B // EG11957-MONOMER // EG11956-MONOMER	Sugars Degradation	"H<SUP>+</SUP> // ""ADP"" // ""&beta;-D-fructofuranose 6-phosphate"""
D-arabinose degradation I	"fucI // ""fucK"" // ""fucA"" // ""aldA"""	"L-fucose isomerase // ""L-fuculokinase"" // ""L-fuculose-phosphate aldolase"" // ""aldehyde dehydrogenase A, NAD-linked"""	D-arabinose Degradation	"H<SUP>+</SUP> // ""NADH"" // ""glycolate"" // ""glycerone phosphate"" // ""ADP"""
D-fructuronate degradation	"uxuB // ""uxuA"" // ""kdgK"" // ""eda"""	"MANNONOXIDOREDUCT-MONOMER // MANNONDEHYDRAT-MONOMER // ""2-keto-3-deoxygluconokinase"" // ""multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase"""	Sugar Acids Degradation	"D-glyceraldehyde 3-phosphate // ""pyruvate"" // ""ADP"" // ""H<sub>2</sub>O"" // ""NAD<sup>+</sup>"""
D-galactarate degradation I	"garL // ""garR"" // ""garD"" // ""garK"" // ""glxK"""	" // TSA-REDUCT-MONOMER // GALACTARDEHYDRA-MONOMER // ""glycerate kinase I"" // ""glycerate kinase II"""	D-Galactarate Degradation	"2-phospho-D-glycerate // ""ADP"" // ""H<sub>2</sub>O"" // ""NAD(P)<sup>+</sup>"" // ""pyruvate"""
D-galactonate degradation	"dgoK // ""dgoA"" // ""dgoD"""	DEHYDDEOXGALACTKIN-MONOMER // DEHYDDEOXPHOSGALACT-ALDOL-MONOMER // GALACTONATE-DEHYDRATASE-MONOMER	Sugar Acids Degradation	"H<sub>2</sub>O // ""D-glyceraldehyde 3-phosphate"" // ""pyruvate"" // ""H<SUP>+</SUP>"" // ""ADP"""
D-galacturonate degradation I	"uxaA // ""kdgK"" // ""uxaB"" // ""uxaC"" // ""eda"""	"ALTRODEHYDRAT-MONOMER // ""2-keto-3-deoxygluconokinase"" // ALTRO-OXIDOREDUCT-MONOMER // UXAC-MONOMER // ""multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase"""	D-Galacturonate Degradation	"D-glyceraldehyde 3-phosphate // ""pyruvate"" // ""NAD<sup>+</sup>"" // ""ADP"" // ""H<sub>2</sub>O"""
<i>D</i>-glucarate degradation I	"garL // ""garR"" // ""gudD"" // ""garK"" // ""glxK"""	" // TSA-REDUCT-MONOMER // ""<i>D</i>-glucarate dehydratase"" // ""glycerate kinase I"" // ""glycerate kinase II"""	D-Glucarate Degradation	"2-phospho-D-glycerate // ""ADP"" // ""H<sub>2</sub>O"" // ""NAD(P)<sup>+</sup>"" // ""pyruvate"""
D-gluconate degradation	"idnK // ""gntK"""	"D-gluconate kinase, thermosensitive // ""D-gluconate kinase, thermostable"""	Carboxylates Degradation	"H<SUP>+</SUP> // ""ADP"" // ""D-gluconate 6-phosphate"""
D-lactate to cytochrome <i>bo</i> oxidase electron transport	"dld // ""cyoD"" // ""cyoA"" // ""cyoB"" // ""cyoC"""	"DLACTDEHYDROGFAD-MONOMER // ""cytochrome <i>bo</i> terminal oxidase"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""pyruvate"""
D-malate degradation	dmlA	D-malate / 3-isopropylmalate dehydrogenase (decarboxylating)	Carboxylates Degradation	"NADH // ""CO<SUB>2</SUB>"" // ""pyruvate"""
D-mannose degradation	manA	MANNPISOM-MONOMER	Sugars Degradation	&beta;-D-fructofuranose 6-phosphate
D-serine degradation	dsdA	D-serine ammonia-lyase	D-Amino Acids Degradation	"pyruvate // ""ammonium"""
D-sorbitol degradation II	srlD	SrlD	Sugar Alcohols Degradation	"D-fructose 6-phosphate // ""NADH"" // ""H<SUP>+</SUP>"""
"DcuSR Two-Component Signal Transduction System, dicarboxylate-dependent"	"dcuR // ""dcuS"""		Signal transduction pathways	"ADP // ""DcuR-Phosphorylated DNA-binding transcriptional activator"""
demethylmenaquinol-8 biosynthesis I	menA	DMK-MONOMER	Demethylmenaquinol-8 Biosynthesis	"demethylmenaquinol-8 // ""diphosphate"" // ""CO<SUB>2</SUB>"""
"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"	"ispU // ""bacA"" // ""ybjG"" // ""pgpB"""	"undecaprenyl diphosphate synthase // ""undecaprenyl pyrophosphate phosphatase"" // ""undecaprenyl pyrophosphate phosphatase"" // PGPPHOSPHAB-MONOMER"	Polyprenyl Biosynthesis	"H<SUP>+</SUP> // ""<i>di-trans,octa-cis</i>-undecaprenyl phosphate"" // ""phosphate"" // ""diphosphate"""
DpiBA Two-Component Signal Transduction System	"dpiB // ""dpiA"""		Signal transduction pathways	"ADP // ""DpiA-P<sup>asp</sup> DNA-binding transcriptional dual regulator"""
dTDP-L-rhamnose biosynthesis I	"rfbC // ""rfbD"" // ""rfbB"" // ""rfbA"" // ""rffH"""	"DTDPDEHYDRHAMEPIM-MONOMER //  //  // DTDPDEHYRHAMREDUCT-MONOMER // ""dTDP-glucose 4,6-dehydratase"" //  // ""dTDP-glucose pyrophosphorylase 2"""	<i>O</i>-Antigen Biosynthesis // |dTDP-L-Rhamnose-Biosynthesis|	"diphosphate // ""H<sub>2</sub>O"" // ""NADP<sup>+</sup>"" // ""dTDP-&beta;-L-rhamnose"""
dTDP-<i>N</i>-acetylthomosamine biosynthesis	"rffC // ""wecE"" // ""rfbA"" // ""rffH"" // ""rfbB"" // ""rffG"""	"TDPFUCACTRANS-MONOMER // ""dTDP-4-dehydro-6-deoxy-D-glucose transaminase"" //  // ""dTDP-glucose pyrophosphorylase 2"" // ""dTDP-glucose 4,6-dehydratase"" // ""dTDP-glucose 4,6-dehydratase 2"""	"<i>O</i>-Antigen Biosynthesis // ""dTDP-sugar Biosynthesis"""	"H<sub>2</sub>O // ""diphosphate"" // ""2-oxoglutarate"" // ""dTDP-<i>N</i>-acetylthomosamine"" // ""coenzyme A"""
enterobacterial common antigen biosynthesis	"rffM // ""rffT"" // ""rfe"" // ""rffC"" // ""wecE"" // ""rfbA"" // ""rffH"" // ""rffG"" // ""wecC"" // ""wecB"""	"UDPMANACATRANS-MONOMER // G7800-MONOMER //  // TDPFUCACTRANS-MONOMER // ""dTDP-4-dehydro-6-deoxy-D-glucose transaminase"" //  // ""dTDP-glucose pyrophosphorylase 2"" // ""dTDP-glucose 4,6-dehydratase 2"" // ""UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase"" // ""UDP-<i>N</i>-acetylglucosamine 2-epimerase"""	"Cell Structures Biosynthesis // ""Superpathways"""	"UMP // ""H<SUP>+</SUP>"" // ""<i>N</i>-acetyl-&alpha;-D-fucosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-mannosaminouronyl-(1&rarr;4)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol"" // ""dTDP"" // ""UDP"""
enterobactin biosynthesis	"entC // ""menF"" // ""entA"" // ""acpT"" // ""acpS"" // ""entD"" // ""entE"" // ""entF"" // ""entB"""	"isochorismate synthase 1 // ""isochorismate synthase 2"" // ""<i>holo</i>-EntB dimer"" // ""EntA"" // ""holo-[acyl carrier protein] synthase 2"" // ""AcpS"" // ""2,3-dihydroxybenzoate-AMP ligase"" // ENTD-MONOMER // ""<i>holo</i>-EntB dimer"" //  // ""<i>holo</i> [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-AMP ligase"" // ""<i>holo</i> [EntF peptidyl-carrier protein]"""	"Siderophore Biosynthesis // ""Superpathways"""	"enterobactin // ""AMP"" // ""adenosine 3',5'-bisphosphate"" // ""diphosphate"""
Entner-Doudoroff pathway I	"eda // ""edd"""	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase // PGLUCONDEHYDRAT-MONOMER	Entner-Duodoroff Pathways	"H<sub>2</sub>O // ""D-glyceraldehyde 3-phosphate"" // ""pyruvate"""
"EnvZ  Two-Component Signal Transduction System, osmotic responsive"	"ompR // ""envZ"""		Signal transduction pathways	"OmpR-Phosphorylated DNA-binding transcriptional dual regulator // ""ADP"""
ethanol degradation I	"adhP // ""adhE"" // ""mhpF"""	"ethanol dehydrogenase / alcohol dehydrogenase // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"""	Ethanol Degradation	"H<SUP>+</SUP> // ""NADH"" // ""acetyl-CoA"""
ethanolamine utilization	"eutB // ""eutC"""	"ethanolamine ammonia-lyase, &alpha; subunit // ""ethanolamine ammonia-lyase, &beta; subunit"""	Amines and Polyamines Degradation	"ammonium // ""acetaldehyde"""
ethylene glycol degradation	"aldA // ""fucO"""	"aldehyde dehydrogenase A, NAD-linked // ""L-1,2-propanediol oxidoreductase"""	Alcohols Degradation	"H<SUP>+</SUP> // ""NADH"" // ""glycolate"""
EvgSA Two-Component Signal Transduction System	"evgA // ""evgS"""		Signal transduction pathways	"EvgA-Phosphorylated DNA-binding transcriptional activator // ""ADP"""
fatty acid &beta;-oxidation I	"fadA // ""fadI"" // ""fadD"" // ""fadK"" // ""fadE"" // ""fadJ"" // ""fadB"""	"fatty acid oxidation complex, &beta; component // ""Fad I component of anaerobic fatty acid oxidation complex"" // ""fatty acyl-CoA synthetase"" // ""short chain acyl-CoA synthetase"" // ACYLCOADEHYDROG-MONOMER // ""FadJ component of anaerobic fatty acid oxidation complex"" // ""fatty acid oxidation complex, &alpha; component"""	Fatty Acids Degradation	"a reduced electron-transfer flavoprotein // ""diphosphate"" // ""AMP"" // ""acetyl-CoA"" // ""NADH"""
fatty acid biosynthesis initiation I	"accD // ""accA"" // ""accC"" // ""accB"" // ""fabD"" // ""fabH"" // ""acpP"" // ""entB"""	" //  // ""biotin carboxyl carrier protein (dimer)"" // MALONYL-COA-ACP-TRANSACYL-MONOMER // ""KASIII"""	Fatty Acid Biosynthesis	"an acetoacetyl-[acp] // ""coenzyme A"" // ""CO<SUB>2</SUB>"" // ""phosphate"" // ""ADP"""
fatty acid biosynthesis initiation II	"fabF // ""fabB"" // ""fabH"" // ""acpP"" // ""entB"""	"KASII // ""KASI"" // ""KASIII"""	Fatty Acid Biosynthesis	"coenzyme A // ""an acetoacetyl-[acp]"" // ""CO<SUB>2</SUB>"""
fatty acid biosynthesis initiation III	"fabF // ""fabB"" // ""acpP"" // ""entB"""	"KASII // ""KASI"""	Fatty Acid Biosynthesis	"CO<SUB>2</SUB> // ""a <i>holo</i>-[acyl-carrier protein]"" // ""an acetoacetyl-[acp]"""
fatty acid elongation -- saturated	"fabA // ""fabZ"" // ""fabI"" // ""fabG"" // ""fabB"" // ""fabF"" // ""entB"" // ""acpP"""	"&beta;-hydroxyacyl-ACP dehydratase/isomerase // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""enoyl-[acyl-carrier-protein] reductase"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""KASI"" // ""KASII"""	Fatty Acid Biosynthesis	"NADP<sup>+</sup> // ""a <i>holo</i>-[acyl-carrier protein]"" // ""CO<SUB>2</SUB>"" // ""NAD<sup>+</sup>"" // ""H<sub>2</sub>O"""
flavin biosynthesis I (bacteria and plants)	"ribF // ""ribC"" // ""ribE"" // ""ybjI"" // ""yigB"" // ""ribB"" // ""ribD"" // ""ribA"""	"bifunctional riboflavin kinase / FMN adenylyltransferase //  // ""6,7-dimethyl-8-ribityllumazine synthase"" // ""5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase"" // ""5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase"" // ""3,4-dihydroxy-2-butanone 4-phosphate synthase"" // ""fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase"" // ""GTP cyclohydrolase II"""	Flavin Biosynthesis	"diphosphate // ""formate"" // ""ammonium"" // ""NADP<sup>+</sup>"" // ""phosphate"" // ""FAD"" // ""ADP"""
folate polyglutamylation	"glyA // ""folC"""	"serine hydroxymethyltransferase // ""folylpoly-&alpha;-glutamate synthetase"" // ""bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase"""	Folate Biosynthesis	"ADP // ""phosphate"" // ""glycine"" // ""H<sub>2</sub>O"""
formaldehyde oxidation II (glutathione-dependent)	"frmB // ""yeiG"" // ""frmA"""	"<i>S</i>-formylglutathione hydrolase //  // ""FrmA"""	Formaldehyde Oxidation	"NAD(P)H // ""H<SUP>+</SUP>"" // ""formaldehyde"" // ""glutathione"" // ""formate"""
formate to dimethyl sulfoxide electron transfer	"fdnG // ""fdnH"" // ""fdnI"" // ""fdoG"" // ""fdoH"" // ""fdoI"" // ""dmsA"" // ""dmsB"" // ""dmsC"""	"formate dehydrogenase N, subcomplex // ""formate dehydrogenase-O, &alpha; subunit"" // ""formate dehydrogenase-O, &beta; subunit"" // ""formate dehydrogenase-O, &gamma; subunit"" // ""dimethyl sulfoxide reductase, chain A"" // ""dimethyl sulfoxide reductase, chain B"" // ""dimethyl sulfoxide reductase, chain C"""	"Anaerobic Respiration // ""Electron Transfer"""	"dimethyl sulfide // ""H<sub>2</sub>O"" // ""CO<SUB>2</SUB>"""
formate to nitrite electron transfer	"fdnG // ""fdnH"" // ""fdnI"" // ""fdoG"" // ""fdoH"" // ""fdoI"" // ""nrfD"" // ""nrfC"" // ""nrfB"" // ""nrfA"""	"formate dehydrogenase N, subcomplex // ""formate dehydrogenase-O, &alpha; subunit"" // ""formate dehydrogenase-O, &beta; subunit"" // ""formate dehydrogenase-O, &gamma; subunit"" // ""formate dependent nitrite reductase"""	"Anaerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""ammonium"" // ""CO<SUB>2</SUB>"""
formate to trimethylamine <i>N</i>-oxide electron transfer	"fdnG // ""fdnH"" // ""fdnI"" // ""fdoG"" // ""fdoH"" // ""fdoI"" // ""torC"" // ""torA"""	"formate dehydrogenase N, subcomplex // ""formate dehydrogenase-O, &alpha; subunit"" // ""formate dehydrogenase-O, &beta; subunit"" // ""formate dehydrogenase-O, &gamma; subunit"" // ""trimethylamine N-oxide reductase TorCA"""	"Anaerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""trimethylamine"" // ""CO<SUB>2</SUB>"""
fructose degradation	fruK	1-phosphofructokinase monomer	Sugars Degradation	"H<SUP>+</SUP> // ""ADP"" // ""fructose 1,6-bisphosphate"""
fructoselysine and psicoselysine degradation	"frlB // ""frlD"" // ""frlC"""	"fructoselysine 6-phosphate deglycase // ""fructoselysine 6-kinase"" // ""fructoselysine 3-epimerase"""	Sugar Derivatives Degradation	"H<SUP>+</SUP> // ""ADP"" // ""&beta;-D-glucose 6-phosphate"" // ""L-lysine"""
fucose degradation	"fucA // ""fucK"" // ""fucI"" // ""fucU"""	"L-fuculose-phosphate aldolase // ""L-fuculokinase"" // ""L-fucose isomerase"" // ""L-fucose mutarotase"""	Sugars Degradation	"H<SUP>+</SUP> // ""ADP"" // ""(<i>S</i>)-lactaldehyde"" // ""glycerone phosphate"""
galactitol degradation	"pfkB // ""kbaY"" // ""kbaZ"" // ""gatY"" // ""gatZ"" // ""gatD"""	"6-phosphofructokinase II // ""tagatose-1,6-bisphosphate aldolase 1"" // ""tagatose-1,6-bisphosphate aldolase 2"" // ""L-galactitol-1-phosphate 5-dehydrogenase"""	Sugar Alcohols Degradation	"NADH // ""H<SUP>+</SUP>"" // ""glycerone phosphate"" // ""D-glyceraldehyde 3-phosphate"" // ""ADP"""
galactose degradation I (Leloir pathway)	"galK // ""galT"" // ""galE"" // ""galU"" // ""galM"""	"GALACTOKIN-MONOMER // ""galactose-1-phosphate uridylyltransferase"" // ""UDP-glucose 4-epimerase monomer"" // ""UTP:glucose-1-phosphate uridylyltransferase"" // ""galactose-1-epimerase"""	"Galactose Degradation // ""Sugar Nucleotides Biosynthesis"""	"diphosphate // ""ADP"""
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	"gmd // ""fcl"""	"GDP-mannose 4,6-dehydratase // "	GDP-sugar Biosynthesis	"GDP-&beta;-L-fucose // ""NADP<sup>+</sup>"" // ""H<sub>2</sub>O"""
GDP-mannose biosynthesis	"pgi // ""manA"" // ""cpsG"" // ""cpsB"""	 // MANNPISOM-MONOMER // PHOSMANMUT-MONOMER // MANNPGUANYLTRANGDP-MONOMER	GDP-sugar Biosynthesis	"GDP-&alpha;-D-mannose // ""diphosphate"""
GlrKR Two-Component Signal Transduction System	"glrK // ""glrR"""		Signal transduction pathways	"ADP // ""GlrR-P<sup>asp56</sup> DNA binding transcriptional activator"""
gluconeogenesis I	"pgi // ""fbp"" // ""glpX"" // ""ybhA"" // ""yggF"" // ""fbaA"" // ""fbaB"" // ""gapA"" // ""pgk"" // ""gpmM"" // ""eno"" // ""pck"" // ""mdh"" // ""ppsA"" // ""maeA"" // ""maeB"" // ""tpiA"""	" // ""fructose-1,6-bisphosphatase I"" // ""fructose 1,6-bisphosphatase II"" // EG11239-MONOMER // ""fructose-1,6-bisphosphatase"" // ""fructose bisphosphate aldolase class II"" // ""fructose bisphosphate aldolase class I"" // ""glyceraldehyde 3-phosphate dehydrogenase-A monomer"" // PGK // ""2,3-bisphosphoglycerate-independent phosphoglycerate mutase"" // ""Eno"" // PEPCARBOXYKIN-MONOMER // ""malate dehydrogenase"" // ""phosphoenolpyruvate synthetase"" // ""malate dehydrogenase, NAD-requiring"" // ""MaeB"" // ""triosephosphate isomerase monomer"""	Gluconeogenesis	"NADPH // ""CO<SUB>2</SUB>"" // ""phosphate"" // ""AMP"" // ""ADP"" // ""D-glucopyranose 6-phosphate"""
glucose and glucose-1-phosphate degradation	"yigL // ""yidA"" // ""ybiV"" // ""yihX"" // ""pgm"" // ""glk"" // ""gcd"""	"phosphosugar phosphatase // ""sugar phosphatase"" // ""sugar phosphatase"" // ""&alpha;-D-glucose-1-phosphatase"" // GLUCONOLACT-MONOMER // PHOSPHOGLUCMUT-MONOMER // GLUCOKIN-MONOMER // ""quinoprotein glucose dehydrogenase"""	Sugars Degradation	"an ubiquinol // ""D-glucopyranose 6-phosphate"" // ""ADP"" // ""H<SUP>+</SUP>"" // ""D-gluconate"" // ""phosphate"""
glutathione biosynthesis	"gshA // ""gshB"""	"&gamma;-glutamate-cysteine ligase // ""glutathione synthetase monomer"""	Reductants Biosynthesis	"H<SUP>+</SUP> // ""glutathione"" // ""phosphate"" // ""ADP"""
glutathione-glutaredoxin redox reactions	"gor // ""grxC"" // ""grxB"" // ""nrdH"" // ""grxA"""	glutathione reductase (NADPH)	Reductants Biosynthesis	"NADP<sup>+</sup> // ""a reduced glutaredoxin"""
glutathionylspermidine biosynthesis	gss	fused glutathionylspermidine amidase / glutathionylspermidine synthetase	"Amines and Polyamines Biosynthesis // ""Reductants Biosynthesis"""	"H<SUP>+</SUP> // ""glutathionylspermidine"" // ""ADP"" // ""phosphate"""
glycerol and glycerophosphodiester degradation	"glpK // ""glpQ"" // ""ugpQ"" // ""glpD"" // ""glpA"" // ""glpB"" // ""glpC"""	"GlpK // ""GlpQ"" // ""glycerophosphodiester phosphodiesterase, cytosolic"" // ""GlpD"" // ""glycerol-3-phosphate dehydrogenase, anaerobic"""	"Glycerol Degradation // ""Superpathways"""	
glycerol degradation I	"glpK // ""glpD"" // ""glpA"" // ""glpB"" // ""glpC"""	"GlpK // ""GlpD"" // ""glycerol-3-phosphate dehydrogenase, anaerobic"""	"Glycerol Degradation // ""Fatty Acid and Lipids Degradation"""	"a menaquinol // ""glycerone phosphate"" // ""an ubiquinol"" // ""H<SUP>+</SUP>"" // ""ADP"""
glycerol degradation V	"gldA // ""dhaK"" // ""dhaL"" // ""dhaM"""	"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase // ""dihydroxyacetone kinase"""	Glycerol Degradation	"glycerone phosphate // ""pyruvate"" // ""NADH"" // ""H<SUP>+</SUP>"""
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	"glpD // ""cyoD"" // ""cyoA"" // ""cyoB"" // ""cyoC"""	"GlpD // ""cytochrome <i>bo</i> terminal oxidase"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""glycerone phosphate"""
glycerol-3-phosphate to fumarate electron transfer	"glpA // ""glpB"" // ""glpC"" // ""frdA"" // ""frdB"" // ""frdC"" // ""frdD"""	"glycerol-3-phosphate dehydrogenase, anaerobic // ""fumarate reductase flavoprotein"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein"" // ""fumarate reductase membrane protein"""	"Anaerobic Respiration // ""Electron Transfer"""	"succinate // ""glycerone phosphate"""
glycerophosphodiester degradation	"glpQ // ""ugpQ"" // ""glpD"" // ""glpA"" // ""glpB"" // ""glpC"""	"GlpQ // ""glycerophosphodiester phosphodiesterase, cytosolic"" // ""GlpD"" // ""glycerol-3-phosphate dehydrogenase, anaerobic"""	Glycerol Degradation	"a menaquinol // ""glycerone phosphate"" // ""an ubiquinol"" // ""an alcohol"" // ""H<SUP>+</SUP>"""
glycine betaine biosynthesis I (Gram-negative bacteria)	"betA // ""betB"""	"choline dehydrogenase // ""betaine aldehyde dehydrogenase"""	Betaine Biosynthesis	"H<SUP>+</SUP> // ""glycine betaine"" // ""NADH"" // ""an reduced unknown electron acceptor"""
glycine biosynthesis I	glyA	serine hydroxymethyltransferase	Glycine Biosynthesis	"glycine // ""a 5,10-methylene-tetrahydrofolate"" // ""H<sub>2</sub>O"""
glycine cleavage	"lpd // ""gcvP"" // ""gcvH"" // ""gcvT"""	"lipoamide dehydrogenase // ""glycine decarboxylase"" // ""glycine cleavage system"" // GCVT-MONOMER"	Glycine Degradation	"a 5,10-methylene-tetrahydrofolate // ""ammonium"" // ""CO<SUB>2</SUB>"" // ""NADH"""
glycogen biosynthesis I (from ADP-D-Glucose)	"glgA // ""glgB"" // ""glgC"" // ""pgm"""	"glycogen synthase // GLYCOGEN-BRANCH-MONOMER // ""GlgC"" // PHOSPHOGLUCMUT-MONOMER"	Glycogen and Starch Biosynthesis	"diphosphate // ""a glycogen"" // ""ADP"""
glycogen degradation I	"malQ // ""glgP"" // ""glgX"" // ""malZ"" // ""malP"" // ""pgm"" // ""glk"""	"AMYLOMALT-MONOMER // ""GlgP"" // EG10381-MONOMER // ""maltodextrin glucosidase"" // ""maltodextrin phosphorylase monomer"" // PHOSPHOGLUCMUT-MONOMER // GLUCOKIN-MONOMER"	"Sugars Biosynthesis // ""Glycogen Degradation"""	"D-glucopyranose 6-phosphate // ""ADP"" // ""H<SUP>+</SUP>"""
glycolate and glyoxylate degradation I	"gcl // ""glcD"" // ""glcE"" // ""glcF"" // ""glxR"" // ""garK"" // ""glxK"""	"glyoxylate carboligase // ""glycolate oxidase"" // ""tartronate semialdehyde reductase 2"" // ""glycerate kinase I"" // ""glycerate kinase II"""	Glycolate Degradation	"2-phospho-D-glycerate // ""ADP"" // ""NAD<sup>+</sup>"" // ""an reduced unknown electron acceptor"" // ""CO<SUB>2</SUB>"""
glycolate and glyoxylate degradation II	"glcB // ""glcD"" // ""glcE"" // ""glcF"""	"MALSYNG-MONOMER // ""glycolate oxidase"""	Glycolate Degradation	"an reduced unknown electron acceptor // ""H<SUP>+</SUP>"" // ""(<i>S</i>)-malate"" // ""coenzyme A"""
glycolysis I (from glucose 6-phosphate)	"pykA // ""pykF"" // ""eno"" // ""gpmM"" // ""pgk"" // ""gapA"" // ""tpiA"" // ""fbaA"" // ""fbaB"" // ""pfkB"" // ""pfkA"" // ""pgi"" // ""ppsA"" // ""fbp"" // ""glpX"" // ""ybhA"" // ""yggF"" // ""gpmA"""	"pyruvate kinase II // ""pyruvate kinase I"" // ""Eno"" // ""2,3-bisphosphoglycerate-independent phosphoglycerate mutase"" // PGK // ""glyceraldehyde 3-phosphate dehydrogenase-A monomer"" // ""triosephosphate isomerase monomer"" // ""fructose bisphosphate aldolase class II"" // ""fructose bisphosphate aldolase class I"" // ""6-phosphofructokinase II"" // ""6-phosphofructokinase I"" //  // ""phosphoenolpyruvate synthetase"" // ""fructose-1,6-bisphosphatase I"" // ""fructose 1,6-bisphosphatase II"" // EG11239-MONOMER // ""fructose-1,6-bisphosphatase"" // ""2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"""	Glycolysis	"AMP // ""NADH"""
