#Experiment	author	exp_info
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 20min r3
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 40min r1
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 40min r2
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 40min r3
57	M. Laubacher	MG1655 cefsulodin plus mecillinam 40min r4
58	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r1
58	F. Haddadin	MG1655 pPROExCat late log LB glucose magnesiumsulfate r3
59	J. Winkler	MG1655 M9 cells only t60
59	J. Winkler	MG1655 M9 cells only t180
59	J. Winkler	MG1655 M9 GFP reporter t0
59	J. Winkler	MG1655 M9 GFP reporter t60
59	J. Winkler	MG1655 M9 GFP reporter t180
59	J. Winkler	MG1655 M9 Madelate Madelamide pathway t0
59	J. Winkler	MG1655 M9 Madelate Madelamide pathway t60
59	J. Winkler	MG1655 M9 Madelate Madelamide pathway t180
60	D. Dwyer	W1872 U ccdB chelator t0 r1
60	D. Dwyer	W1872 U ccdB chelator t30 r1
60	D. Dwyer	W1872 U ccdB chelator t60 r1
60	D. Dwyer	W1872 U ccdB chelator t120 r1
61	M. Kohanski	MG1655 untreated t0 r1
61	M. Kohanski	MG1655 untreated t30 r1
61	M. Kohanski	MG1655 untreated t60 r1
61	M. Kohanski	MG1655 untreated t120 r1
61	M. Kohanski	MG1655 ampicillin 5ug t30 r1
61	M. Kohanski	MG1655 ampicillin 5ug t60 r1
61	M. Kohanski	MG1655 ampicillin 5ug t120 r1
61	M. Kohanski	MG1655 kanamycin t30 r1
61	M. Kohanski	MG1655 kanamycin t60 r1
61	M. Kohanski	MG1655 kanamycin t120 r1
61	M. Kohanski	MG1655 norfloxacin t30 r1
61	M. Kohanski	MG1655 norfloxacin t60 r1
61	M. Kohanski	MG1655 norfloxacin t120 r1
61	M. Kohanski	MG1655 spectinomycin t30 r1
61	M. Kohanski	MG1655 spectinomycin t60 r1
61	M. Kohanski	MG1655 spectinomycin t120 r1
62	H. Lee	MG1655 pretreatment r1
62	H. Lee	MG1655 untreated t10min r1
62	H. Lee	MG1655 amp 5ug t10min r1
62	H. Lee	MG1655 gent 5ug t10min r1
62	H. Lee	MG1655 norf 250ng t10min r1
62	H. Lee	MG1655 spec 400ug t10min r1
62	H. Lee	MG1655 tetracycline 10ug t10min r1
62	H. Lee	MG1655 tetracycline 128ug t10min r1
63	Y. Asakura	MG1655 pHSG415 vector 0h r1
63	Y. Asakura	MG1655 pHSG415 vector 0h r2
63	Y. Asakura	MG1655 pHSG415 vector 1h r1
63	Y. Asakura	MG1655 pHSG415 vector 1h r2
63	Y. Asakura	MG1655 pHSG415 vector 1h50m r1
63	Y. Asakura	MG1655 pHSG415 vector 1h50m r2
63	Y. Asakura	MG1655 pHSG415 vector 3h r1
63	Y. Asakura	MG1655 pHSG415 vector 3h r2
63	Y. Asakura	MG1655 pTN9 r+m+ 0h r1
63	Y. Asakura	MG1655 pTN9 r+m+ 0h r2
63	Y. Asakura	MG1655 pTN9 r+m+ 1h r1
63	Y. Asakura	MG1655 pTN9 r+m+ 1h r2
63	Y. Asakura	MG1655 pTN9 r+m+ 1h50m r1
63	Y. Asakura	MG1655 pTN9 r+m+ 1h50m r2
63	Y. Asakura	MG1655 pTN9 r+m+ 3h r1
63	Y. Asakura	MG1655 pTN9 r+m+ 3h r2
63	Y. Asakura	MG1655 pTN11 r-m+ 0h r1
63	Y. Asakura	MG1655 pTN11 r-m+ 0h r2
63	Y. Asakura	MG1655 pTN11 r-m+ 1h r1
63	Y. Asakura	MG1655 pTN11 r-m+ 1h r2
63	Y. Asakura	MG1655 pTN11 r-m+ 1h50m r1
63	Y. Asakura	MG1655 pTN11 r-m+ 1h50m r2
63	Y. Asakura	MG1655 pTN11 r-m+ 3h r1
63	Y. Asakura	MG1655 pTN11 r-m+ 3h r2
64	M. Covert	MG1655 M9 glucose aerobic wt r1
64	M. Covert	MG1655 M9 glucose aerobic wt r2
64	M. Covert	MG1655 M9 glucose aerobic wt r3
64	M. Covert	MG1655 M9 glucose aerobic D appY r1
64	M. Covert	MG1655 M9 glucose aerobic D appY r2
64	M. Covert	MG1655 M9 glucose aerobic D appY r3
64	M. Covert	MG1655 M9 glucose aerobic D arcA r1
64	M. Covert	MG1655 M9 glucose aerobic D arcA r2
64	M. Covert	MG1655 M9 glucose aerobic D arcA r3
64	M. Covert	MG1655 M9 glucose aerobic D fnr r1
64	M. Covert	MG1655 M9 glucose aerobic D fnr r2
64	M. Covert	MG1655 M9 glucose aerobic D fnr r3
64	M. Covert	MG1655 M9 glucose aerobic D arcA D fnr r1
64	M. Covert	MG1655 M9 glucose aerobic D arcA D fnr r2
64	M. Covert	MG1655 M9 glucose aerobic D arcA D fnr r3
64	M. Covert	MG1655 M9 glucose aerobic D oxyR r1
64	M. Covert	MG1655 M9 glucose aerobic D oxyR r2
64	M. Covert	MG1655 M9 glucose aerobic D oxyR r3
64	M. Covert	MG1655 M9 glucose aerobic D soxS r1
64	M. Covert	MG1655 M9 glucose aerobic D soxS r2
64	M. Covert	MG1655 M9 glucose aerobic D soxS r3
65	J. Oberto	C600 wt M9 glycerol stationary r1
65	J. Oberto	C600 D hupA D hupB M9 glycerol stationary r1
66	T. Dong	MG1655 LB wt r1
66	T. Dong	MG1655 LB wt r2
66	T. Dong	MG1655 LB wt r3
66	T. Dong	MG1655 LB D rpoS r1
66	T. Dong	MG1655 LB D rpoS r2
66	T. Dong	MG1655 LB D rpoS r3
67	J. Domka	BW25113 LB wt t24h r1
67	J. Lee	BW25113 LB wt t24h r1
67	J. Domka	BW25113 LB wt t24h r2
67	M. Herzberg	BW25113 LB wt r1
78	J. Lee	BW25113 LB wt t24h r1
78	J. Domka	BW25113 LB wt t24h r2
78	M. Herzberg	BW25113 LB wt r1
95	J. Lee	BW25113 LB wt t24h r1
95	J. Domka	BW25113 LB wt t24h r2
95	M. Herzberg	BW25113 LB wt r1
67	J. Domka	BW25113 LB D yceP t24h r1
67	J. Domka	BW25113 LB D yliH t24h r1
68	L. Wang	W3110 LB wt OD2pt4 r1
68	L. Wang	W3110 LB wt OD2pt4 r2
68	L. Wang	W3110 LB D luxS OD2pt4 r1
68	L. Wang	W3110 LB D luxS OD2pt4 r2
69	T. Allen	EMG2 MOPS glucose aerobic r1
69	T. Allen	EMG2 MOPS glucose aerobic r2
69	T. Allen	EMG2 MOPS glucose aerobic r3
69	T. Allen	EMG2 MOPS glucose aerobic r4
69	T. Allen	EMG2 MOPS glucose aerobic r5
69	T. Allen	EMG2 MOPS D crp r1
69	T. Allen	EMG2 MOPS D crp r2
69	T. Allen	EMG2 MOPS D crp r3
69	T. Allen	EMG2 MOPS D cspA r1
69	T. Allen	EMG2 MOPS D hns r1
69	T. Allen	EMG2 MOPS D hns r2
69	T. Allen	EMG2 MOPS D hns r3
69	T. Allen	EMG2 MOPS D hupB r1
70	X. Zhang	BW25113 D yncC LB t15h biofilm r1
71	J. Oberto	C600 wt LB stationary r1
71	J. Oberto	C600 wt LB stationary r2
71	J. Oberto	C600 D hupA LB stationary r1
71	J. Oberto	C600 D hupB LB stationary r1
71	J. Oberto	C600 D rpoS LB stationary r1
71	J. Oberto	C600 D hupA D hupB LB stationary r1
71	J. Oberto	C600 D hupA D hupB LB stationary r2
72	M. Koeris	EMG2 wt r1
72	M. Koeris	EMG2 D bssR r1
72	M. Koeris	EMG2 D cspD r1
72	M. Koeris	EMG2 D lsrR D cspD r1
73	T. Dong	MG1655 M63 glucose wt stationary r1
73	T. Dong	MG1655 M63 glucose wt stationary r2
73	T. Dong	MG1655 M63 glucose wt stationary r3
73	T. Dong	MG1655 M63 glucose D rpoS stationary r1
73	T. Dong	MG1655 M63 glucose D rpoS stationary r2
73	T. Dong	MG1655 M63 glucose D rpoS stationary r3
74	M. Koeris	EMG2 wt r1
74	M. Koeris	EMG2 D lsrC r1
74	M. Koeris	EMG2 D lsrR r1
74	M. Koeris	EMG2 D ogt r1
74	M. Koeris	EMG2 D sdiA r1
74	M. Koeris	EMG2 D torC r1
74	M. Koeris	EMG2 D ydaT r1
74	M. Koeris	EMG2 D yddH r1
74	M. Koeris	EMG2 D yneJ r1
74	M. Koeris	EMG2 D yneL r1
74	M. Koeris	EMG2 U lsrR r1
74	M. Koeris	EMG2 U ogt r1
74	M. Koeris	EMG2 U torC r1
74	M. Koeris	EMG2 U ydaT r1
74	M. Koeris	EMG2 U yneL r1
75	M. Kohanski	AB1157 lexA mutant r1
75	M. Kohanski	AB1157 lexA mutant r2
75	M. Kohanski	AB1157 lexA mutant r3
75	M. Kohanski	AB1157 lexA mutant D umuDC r1
75	M. Kohanski	AB1157 lexA mutant D umuDC r2
75	M. Kohanski	AB1157 lexA mutant D umuDC r3
76	Y. Kang	MG1655 D fnr aerobic r1
76	Y. Kang	MG1655 D fnr aerobic r2
76	Y. Kang	MG1655 D fnr aerobic r3
77	A. Ito	MG1655 MOPS wt stationary r1
77	A. Ito	MG1655 MOPS wt stationary r2
77	A. Ito	MG1655 MOPS wt stationary r3
77	A. Ito	MG1655 MOPS D rpoS stationary r1
77	A. Ito	MG1655 MOPS D rpoS stationary r2
77	A. Ito	MG1655 MOPS D rpoS stationary r3
78	J. Lee	BW25113 LB D tnaA t24h r1
79	Y. Kang	MG1655 wt anaerobic r1
79	Y. Kang	MG1655 wt anaerobic r2
79	Y. Kang	MG1655 wt anaerobic r3
79	Y. Kang	MG1655 D fnr anaerobic r1
79	Y. Kang	MG1655 D fnr anaerobic r2
79	Y. Kang	MG1655 D fnr anaerobic r3
79	Y. Kang	MG1655 D fnr anaerobic r4
80	J. Oberto	C600 wt M9 glucose exponential r1
80	J. Oberto	C600 D hupA D hupB M9 glucose exponential r1
81	J. Oberto	C600 wt M9 glycerol exponential r1
81	J. Oberto	C600 D hupA D hupB M9 glycerol exponential r1
82	Unknown	stringent response M9 ctr r1
82	Unknown	stringent response M9 ctr r2
82	Unknown	stringent response M9 ctr r3
82	Unknown	stringent response M9 D relA ctrl r1
82	Unknown	stringent response ctrl U relA r1
82	Unknown	stringent response ctrl U relA D bolA r1
82	Unknown	stringent response ctrl U relA D rpoS r1
83	J. Lee	BW25113 LB glucose wt t24h r1
83	J. Lee	BW25113 wt LB glucose t24h biofilm r1
83	R. Garcia-Contreras	BW25113 LB glucose wt biofilm 24h r1
97	J. Lee	BW25113 LB glucose wt t24h r1
97	J. Lee	BW25113 wt LB glucose t24h biofilm r1
97	R. Garcia-Contreras	BW25113 LB glucose wt biofilm 24h r1
103	J. Lee	BW25113 LB glucose wt t24h r1
103	J. Lee	BW25113 wt LB glucose t24h biofilm r1
103	R. Garcia-Contreras	BW25113 LB glucose wt biofilm 24h r1
83	J. Lee	BW25113 D ymgB LB glucose t24h biofilm r1
84	L. Wang	W3110 LB wt OD1 r1
84	L. Wang	W3110 LB wt OD1 r2
84	L. Wang	W3110 LB D luxS OD1 r1
85	E. Masse	MG1655 pBAD ryhB arabinose r1
85	E. Masse	MG1655 pBAD ryhB arabinose r2
86	M. Covert	MG1655 M9 glucose anaerobic D appY r1
86	M. Covert	MG1655 M9 glucose anaerobic D appY r2
86	M. Covert	MG1655 M9 glucose anaerobic D appY r3
86	M. Covert	MG1655 M9 glucose anaerobic D arcA r1
86	M. Covert	MG1655 M9 glucose anaerobic D arcA r2
86	M. Covert	MG1655 M9 glucose anaerobic D arcA r3
86	M. Covert	MG1655 M9 glucose anaerobic D fnr r1
86	M. Covert	MG1655 M9 glucose anaerobic D fnr r2
86	M. Covert	MG1655 M9 glucose anaerobic D fnr r3
86	M. Covert	MG1655 M9 glucose anaerobic D arcA D fnr r1
86	M. Covert	MG1655 M9 glucose anaerobic D arcA D fnr r2
86	M. Covert	MG1655 M9 glucose anaerobic D arcA D fnr r3
86	M. Covert	MG1655 M9 glucose anaerobic D oxyR r1
86	M. Covert	MG1655 M9 glucose anaerobic D oxyR r2
86	M. Covert	MG1655 M9 glucose anaerobic D oxyR r3
86	M. Covert	MG1655 M9 glucose anaerobic D soxS r1
86	M. Covert	MG1655 M9 glucose anaerobic D soxS r2
86	M. Covert	MG1655 M9 glucose anaerobic D soxS r3
86	M. Covert	MG1655 M9 glucose anaerobic wt r1
86	M. Covert	MG1655 M9 glucose anaerobic wt r2
86	M. Covert	MG1655 M9 glucose anaerobic wt r3
86	M. Covert	MG1655 M9 glucose anaerobic wt r4
87	T. Dong	MG1655 M63 glucose wt exponential r1
87	T. Dong	MG1655 M63 glucose wt exponential r2
87	T. Dong	MG1655 M63 glucose wt exponential r3
87	T. Dong	MG1655 M63 glucose D rpoS exponential r1
87	T. Dong	MG1655 M63 glucose D rpoS exponential r2
87	T. Dong	MG1655 M63 glucose D rpoS exponential r3
88	X. Zhang	BW25113 wt LB glucose t15h r1
88	R. Garcia-Contreras	BW25113 LB glucose wt biofilm 15h r1
97	X. Zhang	BW25113 wt LB glucose t15h r1
97	R. Garcia-Contreras	BW25113 LB glucose wt biofilm 15h r1
88	X. Zhang	BW25113 D ycfR LB glucose t15h r1
89	A. Ito	MG1655 MOPS wt exponential r1
89	A. Ito	MG1655 MOPS wt exponential r2
89	A. Ito	MG1655 MOPS wt exponential r3
89	A. Ito	MG1655 MOPS D rpoS exponential r1
89	A. Ito	MG1655 MOPS D rpoS exponential r2
89	A. Ito	MG1655 MOPS D rpoS exponential r3
90	J. Oberto	C600 wt LB exponential r1
90	J. Oberto	C600 wt LB exponential r2
90	J. Oberto	C600 D hupA LB exponential r1
90	J. Oberto	C600 D hupB LB exponential r1
90	J. Oberto	C600 D rpoS LB exponential r1
90	J. Oberto	C600 D hupA D hupB LB exponential r1
90	J. Oberto	C600 D hupA D hupB LB exponential r2
91	R. Garcia-Contreras	BW25113 LB wt biofilm 4h r1
91	R. Garcia-Contreras	BW25113 LB D hha biofilm 4h r1
92	Unknown	stringent response M9 stringency r1
92	Unknown	stringent response M9 stringency r2
92	Unknown	stringent response M9 stringency r3
92	Unknown	stringent response M9 D relA stringency r1
92	Unknown	stringent response U relA 20min r1
92	Unknown	stringent response U relA D bolA 20min r1
92	Unknown	stringent response U relA D rpoS 20min r1
93	J. Oberto	C600 wt LB transition r1
93	J. Oberto	C600 D hupA LB transition r1
93	J. Oberto	C600 D hupB LB transition r1
93	J. Oberto	C600 D hupA D hupB LB transition r1
94	A. Ito	MG1655 MOPS wt biofilm r1
94	A. Ito	MG1655 MOPS wt biofilm r2
94	A. Ito	MG1655 MOPS wt biofilm r3
94	A. Ito	MG1655 MOPS D rpoS biofilm r1
94	A. Ito	MG1655 MOPS D rpoS biofilm r2
94	A. Ito	MG1655 MOPS D rpoS biofilm r3
95	M. Herzberg	BW25113 LB D ydgG r1
96	J. Oberto	C600 wt M9 glucose stationary r1
96	J. Oberto	C600 D hupA D hupB M9 glucose stationary r1
97	R. Garcia-Contreras	BW25113 LB glucose wt biofilm 4h r1
97	R. Garcia-Contreras	BW25113 LB glucose D hha biofilm 4h r1
97	R. Garcia-Contreras	BW25113 LB glucose D hha biofilm 15h r1
97	R. Garcia-Contreras	BW25113 LB glucose D hha biofilm 24h r1
98	T. Allen	EMG2 MOPS glucose late log t90min r1
98	T. Allen	EMG2 MOPS glucose late log t90min r2
98	T. Allen	EMG2 MOPS glucose late log t90min r3
98	T. Allen	EMG2 MOPS glucose stationary t135min r1
98	T. Allen	EMG2 MOPS glucose stationary t135min r2
98	T. Allen	EMG2 MOPS glucose stationary t330min r1
98	T. Allen	EMG2 MOPS glucose stationary t330min r2
98	T. Allen	EMG2 MOPS glucose stationary t480min r1
98	T. Allen	EMG2 MOPS glucose stationary t480min r2
98	T. Allen	EMG2 MOPS glucose stationary t720min r1
98	T. Allen	EMG2 MOPS glucose stationary t720min r2
98	T. Allen	EMG2 MOPS D dps r1
98	T. Allen	EMG2 MOPS D dps r2
98	T. Allen	EMG2 MOPS D dps r3
98	T. Allen	EMG2 MOPS D dps stationary t240m r1
98	T. Allen	EMG2 MOPS D dps stationary t240m r2
98	T. Allen	EMG2 MOPS D dps stationary t480m r1
99	M. Bradley	MG1655 wt t90m r1
99	M. Bradley	MG1655 wt t90m r2
99	M. Bradley	MG1655 wt t90m r3
99	M. Bradley	MG1655 wt t150m r1
99	M. Bradley	MG1655 wt t150m r2
99	M. Bradley	MG1655 wt t150m r3
99	M. Bradley	MG1655 wt t240m r1
99	M. Bradley	MG1655 wt t240m r2
99	M. Bradley	MG1655 wt t240m r3
99	M. Bradley	MG1655 wt t360m r1
99	M. Bradley	MG1655 wt t360m r2
99	M. Bradley	MG1655 wt t360m r3
99	M. Bradley	MG1655 D fis t90m r1
99	M. Bradley	MG1655 D fis t90m r2
99	M. Bradley	MG1655 D fis t90m r3
99	M. Bradley	MG1655 D fis t150m r1
99	M. Bradley	MG1655 D fis t150m r2
99	M. Bradley	MG1655 D fis t150m r3
99	M. Bradley	MG1655 D fis t240m r1
99	M. Bradley	MG1655 D fis t240m r2
99	M. Bradley	MG1655 D fis t240m r3
99	M. Bradley	MG1655 D fis t360m r1
99	M. Bradley	MG1655 D fis t360m r2
99	M. Bradley	MG1655 D fis t360m r3
100	J. Faith	MG1655 LB wt untreated r1
100	J. Faith	MG1655 LB wt untreated r2
100	J. Faith	MG1655 LB wt norf 25ng r1
100	J. Faith	MG1655 LB wt norf 25ng r2
100	J. Faith	MG1655 LB wt norf 50ng r1
100	J. Faith	MG1655 LB wt norf 50ng r2
100	J. Faith	MG1655 LB wt norf 75ng r1
100	J. Faith	MG1655 LB wt norf 75ng r2
100	J. Faith	MG1655 LB wt norf 100ng r1
100	J. Faith	MG1655 LB wt norf 100ng r2
100	J. Faith	MG1655 LB D recA untreated r1
100	J. Faith	MG1655 LB D recA untreated r2
100	J. Faith	MG1655 LB D recA norf 50ng r1
100	J. Faith	MG1655 LB D recA norf 50ng r2
100	J. Faith	MG1655 LB D recA norf 100ng r1
100	J. Faith	MG1655 LB D recA norf 100ng r2
101	G. Walker	AB1157 wt untreated r1
101	G. Walker	AB1157 wt untreated r2
101	G. Walker	AB1157 wt untreated r3
101	G. Walker	AB1157 wt nitrofurazone r1
101	G. Walker	AB1157 wt nitrofurazone r2
101	G. Walker	AB1157 wt nitrofurazone r3
101	G. Walker	AB1157 D nusA untreated r1
101	G. Walker	AB1157 D nusA untreated r2
101	G. Walker	AB1157 D nusA untreated r3
101	G. Walker	AB1157 D nusA nitrofurazone r1
101	G. Walker	AB1157 D nusA nitrofurazone r2
101	G. Walker	AB1157 D nusA nitrofurazone r3
102	B. Davies	MC4100 wt untreated r1
102	M. Kohanski	MC4100 wt untreated r2
102	M. Kohanski	MC4100 wt untreated r3
102	B. Davies	MC4100 wt HU r1
102	M. Kohanski	MC4100 wt HU r2
102	M. Kohanski	MC4100 wt HU r3
102	B. Davies	MC4100 D ybeY untreated r1
102	M. Kohanski	MC4100 D ybeY untreated r2
102	M. Kohanski	MC4100 D ybeY untreated r3
102	B. Davies	MC4100 D ybeY HU r1
102	M. Kohanski	MC4100 D ybeY HU r2
102	M. Kohanski	MC4100 D ybeY HU r3
103	J. Lee	BW25113 LB glucose D trpE t24h DMF r1
103	J. Lee	BW25113 LB glucose D yceP t24h DMF r1
103	J. Lee	BW25113 LB glucose D yceP t24h indole r1
103	J. Lee	BW25113 LB glucose D yceP t24h indole r2
104	J. Lee	BW25113 wt LB biofilm 7h r1
104	J. Lee	BW25113 D tnaA LB biofilm DMF 7h r1
104	J. Lee	BW25113 D tnaA LB biofilm 100uM indole 7h r1
105	D. Dwyer	BW25113 uninduced t0 r1
105	D. Dwyer	BW25113 uninduced t30 r1
105	D. Dwyer	BW25113 uninduced t60 r1
105	D. Dwyer	BW25113 uninduced t120 r1
105	D. Dwyer	BW25113 uninduced t180 r1
105	D. Dwyer	BW25113 norfloxacin 250ng t0 r1
105	D. Dwyer	BW25113 norfloxacin 250ng t30 r1
105	D. Dwyer	BW25113 norfloxacin 250ng t60 r1
105	D. Dwyer	BW25113 norfloxacin 250ng t120 r1
105	D. Dwyer	BW25113 norfloxacin 250ng t180 r1
105	D. Dwyer	BW25113 D recA uninduced t0 r1
105	D. Dwyer	BW25113 D recA uninduced t30 r1
105	D. Dwyer	BW25113 D recA uninduced t60 r1
105	D. Dwyer	BW25113 D recA uninduced t120 r1
105	D. Dwyer	BW25113 D recA uninduced t180 r1
105	D. Dwyer	BW25113 U ccdB t0 r1
105	D. Dwyer	BW25113 U ccdB t30 r1
105	D. Dwyer	BW25113 U ccdB t60 r1
105	D. Dwyer	BW25113 U ccdB t120 r1
105	D. Dwyer	BW25113 U ccdB t180 r1
105	D. Dwyer	BW25113 D recA norfloxacin 250ng t0 r1
105	D. Dwyer	BW25113 D recA norfloxacin 250ng t30 r1
105	D. Dwyer	BW25113 D recA norfloxacin 250ng t60 r1
105	D. Dwyer	BW25113 D recA norfloxacin 250ng t120 r1
105	D. Dwyer	BW25113 D recA norfloxacin 250ng t180 r1
105	D. Dwyer	BW25113 D recA U ccdB t0 r1
105	D. Dwyer	BW25113 D recA U ccdB t30 r1
105	D. Dwyer	BW25113 D recA U ccdB t60 r1
105	D. Dwyer	BW25113 D recA U ccdB t120 r1
105	D. Dwyer	BW25113 D recA U ccdB t180 r1
106	D. Dwyer	MG1655 U lacZ t0 r1
106	D. Dwyer	MG1655 U lacZ t30 r1
106	D. Dwyer	MG1655 U lacZ t60 r1
106	D. Dwyer	MG1655 U lacZ t90 r1
106	D. Dwyer	MG1655 U ccdB t0 r1
106	D. Dwyer	MG1655 U ccdB t0 r2
106	D. Dwyer	MG1655 U ccdB t30 r1
106	D. Dwyer	MG1655 U ccdB t30 r2
106	D. Dwyer	MG1655 U ccdB t60 r1
106	D. Dwyer	MG1655 U ccdB t60 r2
106	D. Dwyer	MG1655 U ccdB t90 r1
106	D. Dwyer	MG1655 U ccdB t90 r2
107	Unknown	stringent response untreated wt r1
107	Unknown	stringent response valine wt 20min r1
107	Unknown	stringent response valine wt 120min r1
107	Unknown	stringent response serine hydroxamate wt 20min r1
107	Unknown	stringent response serine hydroxamate wt 120min r1
107	Unknown	stringent response untreated U relA r1
107	Unknown	stringent response serine hydroxamate U relA 20min r1
107	Unknown	stringent response serine hydroxamate U relA 120min r1
107	Unknown	stringent response valine U relA 20min r1
107	Unknown	stringent response valine U relA 120min r1
