#Experiment	author	exp_info
50	A. Mitchell	BY4741 Wild type cells, osmotic stress followed by oxidative stress, t = 45min
50	A. Mitchell	BY4741 Wild type cells, osmotic stress followed by oxidative stress, t = 90min
50	A. Mitchell	BY4741 Wild type cells, osmotic stress followed by suspension in rich media, t = 15min
50	A. Mitchell	BY4741 Wild type cells, osmotic stress followed by suspension in rich media, t = 45min
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 0min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 0min, replicate 2
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 5min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 10min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 15min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 20min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, control, t = 30min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 0min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 0min, replicate 2
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 5min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 10min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 15min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 20min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 30min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 40min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 50min, replicate 1
51	O. Shalem	Y262 Wild type cells, DNA damage decay, t = 60min, replicate 1
52	J. Moxley	S288c Wild type cells, YNB media, 10mM 3AT, replicate 1
52	J. Moxley	S288c Wild type cells, YNB media, 10mM 3AT, replicate 2
52	J. Moxley	S288c Wild type cells, YNB media, 10mM 3AT, replicate 3
52	J. Moxley	S288c D GCN4, YNB media, 10 mM 3AT, replicate 1
52	J. Moxley	S288c D GCN4, YNB media, 10 mM 3AT, replicate 2
52	J. Moxley	S288c D GCN4, YNB media, 10 mM 3AT, replicate 3
53	C. Cheng	WT Wild type cells, replicate 1
53	C. Cheng	WT Wild type cells, replicate 2
53	C. Cheng	WT Wild type cells, replicate 3
53	C. Cheng	WT D RAS2 cells, replicate 1
53	C. Cheng	WT D RAS2 cells, replicate 2
53	C. Cheng	WT D RAS2 cells, replicate 3
53	C. Cheng	WT D SCH9 cells, replicate 1
53	C. Cheng	WT D SCH9 cells, replicate 2
53	C. Cheng	WT D SCH9 cells, replicate 3
53	C. Cheng	WT D TOR1 cells, replicate 1
53	C. Cheng	WT D TOR1 cells, replicate 2
53	C. Cheng	WT D TOR1 cells, replicate 3
54	C. Sill	WT Wild type cells, replicate 1
54	C. Sill	WT Wild type cells, replicate 2
54	C. Sill	WT D SUP2 cells, replicate 1
54	C. Sill	WT D SUP2 cells, replicate 2
54	C. Sill	WT D SUP2 cells, replicate 3
54	C. Sill	WT D ESA1 D SUP2 cells, replicate 1
54	C. Sill	WT D ESA1 D SUP2 cells, replicate 2
54	C. Sill	WT D ESA1 D SUP2 cells, replicate 3
55	F. Meng	BY4742 D SUA5 cells, streak 12, replicate 1
55	F. Meng	BY4742 D SUA5 cells, streak 12, replicate 2
55	F. Meng	BY4742 D SUA5 cells, streak 12, replicate 3
56	F. Meng	BY4742 D SUA5 cells, streak 1, replicate 1
56	F. Meng	BY4742 D SUA5 cells, streak 1, replicate 2
56	F. Meng	BY4742 D SUA5 cells, streak 1, replicate 3
56	F. Meng	BY4742 D SUA5 cells, streak 1, replicate 4
57	C. Zhu	BY4741 Wild type cells, control, t = 0min, replicate 1
57	C. Zhu	BY4741 Wild type cells, control, t = 0min, replicate 2
57	C. Zhu	BY4741 Wild type cells, control, t = 0min, replicate 3
57	C. Zhu	BY4741 Wild type cells, control, t = 20min, replicate 1
57	C. Zhu	BY4741 Wild type cells, control, t = 20min, replicate 2
57	C. Zhu	BY4741 Wild type cells, control, t = 20min, replicate 3
57	C. Zhu	BY4741 D PBF1, t = 0min, replicate 1
57	C. Zhu	BY4741 D PBF1, t = 0min, replicate 2
57	C. Zhu	BY4741 D PBF1, t = 0min, replicate 3
57	C. Zhu	BY4741 D PBF1, t = 20min, replicate 1
57	C. Zhu	BY4741 D PBF1, t = 20min, replicate 2
57	C. Zhu	BY4741 D PBF1, t = 20min, replicate 3
57	C. Zhu	BY4741 D PBF2, t = 0min, replicate 1
57	C. Zhu	BY4741 D PBF2, t = 0min, replicate 2
57	C. Zhu	BY4741 D PBF2, t = 0min, replicate 3
57	C. Zhu	BY4741 D PBF2, t = 20min, replicate 1
57	C. Zhu	BY4741 D PBF2, t = 20min, replicate 2
57	C. Zhu	BY4741 D PBF2, t = 20min, replicate 3
57	C. Zhu	BY4741 D PBF1 D PBF2, t = 0min, replicate 1
57	C. Zhu	BY4741 D PBF1 D PBF2, t = 0min, replicate 2
57	C. Zhu	BY4741 D PBF1 D PBF2, t = 0min, replicate 3
57	C. Zhu	BY4741 D PBF1 D PBF2, t = 20min, replicate 1
57	C. Zhu	BY4741 D PBF1 D PBF2, t = 20min, replicate 2
57	C. Zhu	BY4741 D PBF1 D PBF2, t = 20min, replicate 3
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 30min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 38min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 46min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 54min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 62min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 70min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 78min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 86min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 94min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 102min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 110min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 118min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 126min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 134min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 142min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 150min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 158min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 166min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 174min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 182min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 190min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 198min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 206min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 214min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 222min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 230min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 238min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 246min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 254min
58	D. Orlando	BF264-15Dau Wild type cells, YEP medium, t = 262min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 30min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 38min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 46min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 54min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 62min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 70min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 78min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 86min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 94min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 102min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 110min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 118min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 126min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 134min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 142min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 150min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 158min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 166min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 174min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 182min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 190min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 198min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 206min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 214min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 222min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 230min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 238min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 246min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 254min
58	D. Orlando	BF264-15Dau D CLB1 cells, YEP medium, t = 262min
59	K. Poorey	YPH499 Wild type cells, control, replicate 1
59	K. Poorey	YPH499 Wild type cells, control, replicate 2
59	K. Poorey	YPH499 Wild type cells, UV irradiation, t = 15min, replicate 1
59	K. Poorey	YPH499 Wild type cells, UV irradiation, t = 15min, replicate 2
59	K. Poorey	YPH499 Wild type cells, UV irradiation, t = 30min, replicate 1
59	K. Poorey	YPH499 Wild type cells, UV irradiation, t = 30min, replicate 2
59	K. Poorey	YPH499 Wild type cells, UV irradiation, t = 60min, replicate 1
59	K. Poorey	YPH499 Wild type cells, UV irradiation, t = 60min, replicate 2
59	K. Poorey	YPH499 D MIG, control, replicate 1
59	K. Poorey	YPH499 D MIG, control, replicate 2
59	K. Poorey	YPH499 D MIG, UV irradiation, t = 15min, replicate 1
59	K. Poorey	YPH499 D MIG, UV irradiation, t = 30min, replicate 1
59	K. Poorey	YPH499 D MIG, UV irradiation, t = 30min, replicate 2
59	K. Poorey	YPH499 D MIG, UV irradiation, t = 60min, replicate 1
59	K. Poorey	YPH499 D MIG, UV irradiation, t = 60min, replicate 2
59	K. Poorey	YPH499 D RAD, control, replicate 1
59	K. Poorey	YPH499 D RAD, control, replicate 2
59	K. Poorey	YPH499 D RAD, UV irradiation, t = 30min, replicate 1
59	K. Poorey	YPH499 D RAD, UV irradiation, t = 30min, replicate 2
59	K. Poorey	YPH499 D RAD, UV irradiation, t = 60min, replicate 1
59	K. Poorey	YPH499 D RAD, UV irradiation, t = 60min, replicate 2
59	K. Poorey	YPH499 D RAD4, control, replicate 1
59	K. Poorey	YPH499 D RAD4, control, replicate 2
59	K. Poorey	YPH499 D RAD4, UV irradiation, t = 30min, replicate 1
59	K. Poorey	YPH499 D RAD4, UV irradiation, t = 30min, replicate 2
59	K. Poorey	YPH499 D RAD4, UV irradiation, t = 60min, replicate 1
59	K. Poorey	YPH499 D RAD4, UV irradiation, t = 60min, replicate 2
59	K. Poorey	YPH499 D SNF, control, replicate 1
59	K. Poorey	YPH499 D SNF, control, replicate 2
59	K. Poorey	YPH499 D SNF, UV irradiation, t = 15min, replicate 1
59	K. Poorey	YPH499 D SNF, UV irradiation, t = 15min, replicate 2
59	K. Poorey	YPH499 D SNF, UV irradiation, t = 30min, replicate 1
59	K. Poorey	YPH499 D SNF, UV irradiation, t = 30min, replicate 2
59	K. Poorey	YPH499 D SNF, UV irradiation, t = 60min, replicate 1
59	K. Poorey	YPH499 D SNF, UV irradiation, t = 60min, replicate 2
59	K. Poorey	YPH499 D SNF D RAD, control, replicate 1
59	K. Poorey	YPH499 D SNF D RAD, control, replicate 2
59	K. Poorey	YPH499 D SNF D RAD, UV irradiation, t = 30min, replicate 1
59	K. Poorey	YPH499 D SNF D RAD, UV irradiation, t = 30min, replicate 2
59	K. Poorey	YPH499 D SNF D RAD, UV irradiation, t = 60min, replicate 1
59	K. Poorey	YPH499 D SNF D RAD, UV irradiation, t = 60min, replicate 2
